id,title,description,url
1,british columbia citizens' assembly on electoral reform,"an independent, non-partisan assembly of 160 randomly selected bc residents, mandated to examine the current provincial election system and suggested alternatives. their final report and recommendation was submitted to the public and the final decision was put to a referendum.",https://participedia.net/case/1
2,minneapolis neighborhood revitalization program,"the minneapolis neighborhood revitalization program (nrp) was established in 1990 to empower local residents in the process of revitalizing inner city neighborhoods, allowing them to take an active role in setting priorities, designing projects, and overseeing their implementation.",https://participedia.net/case/2
3,wenling city deliberative poll,"one of china’s most innovative forms of reinventing democracy occurred in 2005 in zeguo township, wenling with a deliberative poll to engage citizens in democratic decision-making regarding the allocation of resources for infrastructure projects.",https://participedia.net/case/3
4,citizens' forum europe,citizens' forum europe was designed to allow disaffected eu citizens to explore their priorities and preferences and to launch a public debate about shaping the future of europe. 16 resolutions followed the process and participants discussed their demands with mep candidates.,https://participedia.net/case/4
5,biobanking in british columbia,two deliberative forums involving members of the public from across the province. participants were tasked with considering the ethical and social implications of biobanking and to formulate recommendations for policymakers. ,https://participedia.net/case/5
6,californiaspeaks,californians came together in a statewide conversation that gave the public a voice in shaping the state's health insurance policy as it underwent reform. independent evaluations show that the expressed priorities were reflected in resulting legislation.,https://participedia.net/case/6
7,"transportation priorities project (clark county, washington)",,https://participedia.net/case/7
8,"countywide community forums (king county, washington usa)","intended to engage citizens in consultative forums, the countywide community forums were used in king county for citizens to deliberate on various relevant topics and subsequently relay their concerns to public officials.",https://participedia.net/case/8
9,"philadelphia: tight times, tough choices",a civic forum initiated in order to engage citizens in the process of deliberation and decision-making on how philadelphia's budgetary resources should be allocated. the results were presented to the city council.,https://participedia.net/case/9
10,daly city community budget forums,daly city successfully used participatory budgeting forums to engage residents in democratic deliberation regarding the allocation of local resources. the municipality has plans to continue engaging the public on matters relating to the budget and other issues.,https://participedia.net/case/10
11,brea city budgeting,,https://participedia.net/case/11
12,participatory budgeting in berlin-lichtenberg,"berlin-lichtenberg enabled citizens to make and evaluate suggestions on allocating the borough's  €31 million discretionary budget. using online and face-to-face exercises, the democratic process encouraged agreement in policy decisions, but had limited representation.",https://participedia.net/case/12
13,portsmouth listens 2005 city master plan study circles,"a 2-year, 3-round program of dialogue-to-action circles organized by portsmouth listens to involve community members in the drafting and implementation of the city master plan. ideas from the dialogue were included in the plan and various citizen-driven initiatives were started.",https://participedia.net/case/13
14,"alternative public hearings in andhra pradesh (vizag, india)",,https://participedia.net/case/14
15,municipal health councils (brazil) test22,,https://participedia.net/case/15
16,community-managed clinics and health watch committees (bangladesh),,https://participedia.net/case/16
17,the royal commission on the future of health care in canada (2001-2002),"the royal commission was an 18-month public inquiry mandated to consult and engage in dialogue with experts, politicians, and citizens on the current state and future potentials of canada's public health system. the commission produced 47 recommendations.",https://participedia.net/case/17
24,"high school participatory budget (poitou-charentes, france)",,https://participedia.net/case/24
26,"participatory budgeting (tower hamlets, london, uk)",,https://participedia.net/case/26
27,australia's first citizens' parliament,australia's first citizens' parliament was a large-scale three-day deliberation in canberra between randomly-selected citizens who addressed how the australian government could be strengthened to better serve the people. their 13 proposals were presented to parliament.,https://participedia.net/case/27
28,"citizens' reference panel on health technologies in ontario, canada",the 2008 citizens’ reference panel on health technologies produced evidence-based recommendations on the ethical and societal issues that residents thought should inform the use of health technologies in ontario’s health system.,https://participedia.net/case/28
29,"participatory budgeting in salford, uk",,https://participedia.net/case/29
30,democratic innovations in germany,,https://participedia.net/case/30
33,mayor's youth and families initiative summit,,https://participedia.net/case/33
34,front porch forum ,,https://participedia.net/case/34
35,kerala people’s campaign for decentralized planning,"in order to address the state's democratic deficit the “people’s campaign for decentralized planning” gave all 1,214 local governments in kerala new functions and powers of decision making such as partial authority over state developmental expenditures. ",https://participedia.net/case/35
37,power2010,power 2010 was a campaign to reform the parliament of the united kingdom by engaging the public in the process of determining which reforms they would like to see enacted.,https://participedia.net/case/37
39,"hard times, hard choices: michigan citizens deliberate",,https://participedia.net/case/39
40,"deliberative polling in marousi, greece","a deliberative poll was used by the pasok party in marousi to select candidates, in order to make the process more democratic, and reconnect with their ancient greek historical roots. results show opinions changed among participants, who largely found the process to be effective.",https://participedia.net/case/40
41,open government initiative (usa),,https://participedia.net/case/41
42,dialogue with the city,"dialogue with the city’s aim was to engage the citizens of greater perth in developing a planning strategy to make the capital of the state of western australia the “world’s most livable city by 2030.” the large scale deliberation considered issues such as sustainable development, housing and employment in the area.",https://participedia.net/case/42
43,chicago's participatory budgeting project,"due to declining public confidence and civic participation, chicago's government decided to implement a participatory budgeting initiative to re-engage citizens in the process of democratically deciding infrastructure priorities and how resources should be allocated.",https://participedia.net/case/43
44,porto alegre participatory budgeting cycle 2005-2007,"porto alegre was the first city to use participatory budgeting as a method of democratic innovation. the process has undergone some changes over its 30 years, and this case focuses on its use during the 2005-2007 budgeting cycle.",https://participedia.net/case/44
46,ontario citizens' assembly on electoral reform,"ontario's citizens' assembly was charged with examining the current electoral system, learning about alternative models and determining which is best suited for the provincial legislature. the assembly's final recommendations were defeated in a public referendum.",https://participedia.net/case/46
47,san francisco online voter guide,,https://participedia.net/case/47
48,participatory publics in brazil,"participatory publics were implemented in brazil to increase democratic deliberation given high levels of social exclusion, thereby linking them to formal political officials and allowing them to engage in processes of democratic decision-making processes to pursue their concerns",https://participedia.net/case/48
50,asuw student senate,the associated students of the university of washington (asuw) created a student senate in order to engage diverse voices in the process of advising on issues relevant to students.,https://participedia.net/case/50
51,1st inuit youth symposium on the inuit language,"the 1st inuit circumpolar youth symposium was held from august 15-19, 2005 to bring together inuit youth from around the world in order to unify the inuit community through strategies for preserving the inuit language and fostering true commitments to language restoration.",https://participedia.net/case/51
52,new mexico department of transportation citizen conferences,"citizen conferences, each composed of 8-10 new mexico adult citizens and lasting one day, were spearheaded by the new mexico department of transportation to gather public input, so that the department can best meet the transportation needs of its citizens.",https://participedia.net/case/52
53,tillamook bay national estuaries project,"established as a non-profit in 2002, the tillamook estuaries partnership claimed funding and governing autonomy from the epa over the stewardship and restoration of the estuary. the tep partners with federal, state, and local agencies, as well as ngos.",https://participedia.net/case/53
54,edmonton citizen panel 2008,"in 2008, the city of edmonton in collaboration with the university of alberta, initiated a citizen panel to engage citizens in participatory processes of consultation regarding edmonton's budget priorities.",https://participedia.net/case/54
56,2010 university of puerto rico strike,"the upr strike of 2010 (or huelga del 2010 de la universidad de puerto rico) began on april 21, 2010 as a 48-hour strike at the university of puerto rico río piedras campus when negotiations broke down with administration regarding several student issues.",https://participedia.net/case/56
58,global forum on modern direct democracy,"the global forum on modern direct democracy is the ""oldest and largest global conference on participatory and direct democracy."" a global forum focused on a different issue and located in a different country takes place each year.",https://participedia.net/case/58
61,shimer college assembly,,https://participedia.net/case/61
62,icelandic national assembly 2009,"the first event in a three-year process of constitutional reform, the national assembly was the outcome of a popular campaign for greater public participation and was convened and carried out in collaboration with political officials. ",https://participedia.net/case/62
63,listening to the city,"listening to the city was a 21st century town meeting held in new york city which brought together citizens in an open dialogue on rebuilding lower manhattan after the terrorists attacks of september 11, 2001.",https://participedia.net/case/63
64,san mateo deliberative poll on housing,"facing a housing crisis that would have social and economic implications for the county, san mateo initiated a deliberative polling event to give residents the chance to learn and then deliberate on the growing issue and democratically decide how they were to address the problem.",https://participedia.net/case/64
65,civicus world assembly,"the civicus world assembly is an annual gathering which connects concerned citizens, civil society, governments, donors, and businesses in order to tackle the world's most pressing challenges.",https://participedia.net/case/65
66,developing a framework for a mental health care strategy for canada (2008-2009),"the mental health commission of canada produced a robust model for collaboration across federal, provincial, and territorial jurisdictions for the development of a pan-canadian mental health strategy.",https://participedia.net/case/66
67,the 2010 uk youth parliament at the house of commons,,https://participedia.net/case/67
68,"citizen participation in science and technology project ""cipast"" (e.u.)","a three-year deliberative policy consultation with eu on science, technology, and innovation. ",https://participedia.net/case/68
69,tomorrow's europe,"tomorrow’s europe, categorized as europe’s first transnational deliberative poll, aimed to stimulate democratic participation and establish a european union that was closer to its citizens. gains in knowledge on various social and economic issues affecting the eu were made. ",https://participedia.net/case/69
70,san francisco urban-rural roundtable,the san francisco urban-rural roundtable involved bringing together food producers and urban businesses to develop recommendations and strategies to form a working foodshed and support agriculture in california.,https://participedia.net/case/70
71,community policing in chicago beat meetings,,https://participedia.net/case/71
72,mississauga-halton citizens' reference panel integrated health services plan,the mississauga-halton local health integration network (lhin) commissioned mass lbp to convene a 36-resident reference panel to deliberate on health trends and issues before drafting recommendations for the lhin's integrated health service plan. ,https://participedia.net/case/72
73,bolivian democratic development,,https://participedia.net/case/73
76,international youth leadership conference,,https://participedia.net/case/76
77,community planning in scotland,"in order to engage scottish community members on local-level decision-making regarding issues that affect them, community planning was implemented based on a statutory framework, sponsored by the scottish government.",https://participedia.net/case/77
78,the unified new orleans plan,"the unified new orleans plan is a comprehensive plan for the city of new orleans developed following hurricane katrina. the plan was drafted using participatory methods including grass-roots outreach, online consultations, district meetings and community congresses.",https://participedia.net/case/78
79,"warwick junction urban renewal project (durban, south africa)",,https://participedia.net/case/79
80,artworks creative communities 'get your pen out' homelessness project,"the ""get your pen out"" project enabled people from the bradford district to use creative writing to explore their experiences with homelessness, aiming to challenge public perceptions.",https://participedia.net/case/80
81,kentucky school councils,,https://participedia.net/case/81
82,mondragón co-operative corporation: participatory business management,"mcc uses co-operative business management as its guiding principle of internal governance and decision-making. the corporation stands for participatory worker empowerment through share-ownership, participatory decision-making, and equitable payment. ",https://participedia.net/case/82
83,gacaca courts: community justice in rwanda,"the gacaca courts were community court hearings to convict the 1994 rwandan genocide's perpetrators, a unique and large-scale national experiment of a community judicial system.",https://participedia.net/case/83
85,northern ireland pensioners' parliament (2011),,https://participedia.net/case/85
