id,title,description,url
145,21st century town meeting®,21st century town meetings® are public forums that use modern communications technologies to allow large number of participants across various locations to simultaneously deliberate on the same issue in small groups. ,https://participedia.net/method/145
146,participatory budgeting,participatory budgeting is a method of democratic decision-making whereby participants engage in deliberation regarding how public resources ought to be allocated and distributed. ,https://participedia.net/method/146
147,deliberative polling®,deliberative polling® is a unique form of political consultation which combines public opinion research and deliberation to identify how public opinion on an issue might appear if citizens were better informed.,https://participedia.net/method/147
149,forum theatre,forum theatre takes the form of a conventional play but reflects the participating community’s lived experience regarding a chosen issue and culminates in unresolved crisis. it aims to engage the public audience in understanding and exploring creative solutions to the issue.,https://participedia.net/method/149
150,collaborative governance,"collaborative governance in its most general terms is a process which engages state and non-state actors to address an issue, whether they are public or private organisations, or individual citizens [1].",https://participedia.net/method/150
151,practical democracy,practical democracy lets candidates for public office deliberate on matters of public interest before they are chosen as representatives. it allows the entire electorate to participate to the extent of their ability and desire.,https://participedia.net/method/151
152,community auditing,"community auditing is a participatory research method used by a community for it to evaluate its own priorities and resources, thereby identifying their needs and raising the community's awareness of their own skills and relevant issues facing them. ",https://participedia.net/method/152
154,civic lottery,civic lottery is a lottery-based tool for randomly selecting citizens to participate in democratic initiatives or even in public office in order to obtain a representative sample.,https://participedia.net/method/154
155,citizens' jury,"a citizens’ jury is a small group of randomly selected citizens, representative of the demographics in the area, that come together to reach a collective decision or recommendation on a policy issue through informed deliberation.",https://participedia.net/method/155
156,chat (choosing all together) simulation exercise,“choosing all together” (chat) is a small group simulation exercise that engages groups of people in informed deliberations about spending priorities related to health. ,https://participedia.net/method/156
157,participatory consensus conferences,"the model of participatory consensus conference often known as “the danish model” and/or “citizens’ panel,” is a way to deliberate on policy issues with high technical content using a combination of lay citizens and experts.",https://participedia.net/method/157
159,new england or 'open' town meetings,"new england or 'open' town meetings are public forums that promote participation in local governance, enabling residents to share their opinions on public issues while engaging in deliberation and democratic decision-making processes regarding laws and budgets.",https://participedia.net/method/159
160,planning cells,"planning cells are a deliberative method where randomly-selected, diverse participants collaborate on developing solutions to a given issue and report the resulting recommendations to the relevant decision-makers.",https://participedia.net/method/160
161,asset-based community development,asset-based community development is a communication methodology for sustainable community-driven development that focuses on identifying and utilizing the individual strengths and existing assets of citizens in the community.,https://participedia.net/method/161
162,public hearing,"also known as public inquiries, public hearings are typically organized as a way to gather public opinions and concerns on political issues before a legislature, agency, or organization makes a decision or takes action.",https://participedia.net/method/162
163,consensus conference,"consensus conferences are meetings designed to inform the public and present participants the opportunity to actively engage in learning and expressing their opinions, aiming to find common ground regarding contentious issues.",https://participedia.net/method/163
164,initiative process,the initiative process is a form of direct democracy where citizens can propose legislation which is then put to popular referendum. there are two types of initiative: direct (citizens'/popular) and indirect (agenda/agenda-setting). ,https://participedia.net/method/164
167,the world café ,"the world café is a method for hosting conversations regarding relevant societal issues, with the ideal scenario being multiple conversations that build on each other so that the issue is considered in-depth.",https://participedia.net/method/167
168,national issues forum,the united states' national issues forum (nif) is a nationwide network of locally created public forums oriented towards the deliberation of public and political issues. ,https://participedia.net/method/168
169,parliamentary procedure,"parliamentary procedure is the set of rules and bylaws adopted by various groups, ranging from the united states house of representatives to high school model united nations clubs, which attempt to ensure civil deliberation among the participating members.",https://participedia.net/method/169
170,citizen advisory board,citizen advisory boards are a local government entity which consists of volunteer citizens from the community they represent. citizen advisory boards add to the deliberative quality of a democracy by involving everyday citizens in political processes that help shape policies.,https://participedia.net/method/170
172,we the people: the citizen and the constitution,"we the people is an educational process which aims to enable students to learn about and address a range of governance-related issues, culminating in competitions to present at simulated congressional hearings. ",https://participedia.net/method/172
